"Model","Time","f","ll","ul"
"Realization",33,7.483188172,7.483188172,7.483188172
"Realization",34,7.493539941,7.493539941,7.493539941
"Realization",35,7.502793366,7.502793366,7.502793366
"Realization",36,7.501137371,7.501137371,7.501137371
"Realization",37,7.514581753,7.514581753,7.514581753
"Realization",38,7.528331767,7.528331767,7.528331767
"Realization",39,7.545653985,7.545653985,7.545653985
"Realization",40,7.552814549,7.552814549,7.552814549
"Realization",41,7.574917763,7.574917763,7.574917763
"Realization",42,7.583451066,7.583451066,7.583451066
"Realization",43,7.593474944,7.593474944,7.593474944
"Realization",44,7.597747488,7.597747488,7.597747488
"Realization",45,7.619184323,7.619184323,7.619184323
"Realization",46,7.633563242,7.633563242,7.633563242
"Realization",47,7.649359235,7.649359235,7.649359235
"Realization",48,7.672106219,7.672106219,7.672106219
"Realization",49,7.691702484,7.691702484,7.691702484
"Realization",50,7.694301724,7.694301724,7.694301724
"Realization",51,7.704496416,7.704496416,7.704496416
"Realization",52,7.709398056,7.709398056,7.709398056
"Realization",53,7.715034394,7.715034394,7.715034394
"Realization",54,7.72099394,7.72099394,7.72099394
"Realization",55,7.735302225,7.735302225,7.735302225
"Realization",56,7.740925237,7.740925237,7.740925237
"Realization",57,7.752464076,7.752464076,7.752464076
"Realization",58,7.769336361,7.769336361,7.769336361
"Realization",59,7.777080182,7.777080182,7.777080182
"Realization",60,7.776115477,7.776115477,7.776115477
"Realization",61,7.790075491,7.790075491,7.790075491
"Realization",62,7.791440171,7.791440171,7.791440171
"Realization",63,7.796962542,7.796962542,7.796962542
"Realization",64,7.792968055,7.792968055,7.792968055
"Realization",65,7.786800945,7.786800945,7.786800945
"Realization",66,7.785928689,7.785928689,7.785928689
"Realization",67,7.798030524,7.798030524,7.798030524
"Realization",68,7.788957548,7.788957548,7.788957548
"Realization",69,7.815449164,7.815449164,7.815449164
"Realization",70,7.81536847,7.81536847,7.81536847
"Realization",71,7.820479659,7.820479659,7.820479659
"Realization",72,7.820439515,7.820439515,7.820439515
"Realization",73,7.842121658,7.842121658,7.842121658
"Realization",74,7.861380331,7.861380331,7.861380331
"Realization",75,7.871730802,7.871730802,7.871730802
"Realization",76,7.890320524,7.890320524,7.890320524
"Realization",77,7.913521017,7.913521017,7.913521017
"Realization",78,7.916078096,7.916078096,7.916078096
"Realization",79,7.915092569,7.915092569,7.915092569
"Realization",80,7.923999937,7.923999937,7.923999937
"Realization",81,7.918410289,7.918410289,7.918410289
"Realization",82,7.921245314,7.921245314,7.921245314
"Realization",83,7.908129773,7.908129773,7.908129773
"Realization",84,7.899301895,7.899301895,7.899301895
"Realization",85,7.879556401,7.879556401,7.879556401
"Realization",86,7.889683927,7.889683927,7.889683927
"Realization",87,7.906510399,7.906510399,7.906510399
"Realization",88,7.920337527,7.920337527,7.920337527
"Realization",89,7.938944891,7.938944891,7.938944891
"Realization",90,7.943392268,7.943392268,7.943392268
"Realization",91,7.947537169,7.947537169,7.947537169
"Realization",92,7.957457396,7.957457396,7.957457396
"Realization",93,7.971085754,7.971085754,7.971085754
"Realization",94,7.987082806,7.987082806,7.987082806
"Realization",95,8.006967388,8.006967388,8.006967388
"Realization",96,8.004398965,8.004398965,8.004398965
"Realization",97,8.01317766,8.01317766,8.01317766
"Realization",98,8.044273314,8.044273314,8.044273314
"Realization",99,8.052805762,8.052805762,8.052805762
"Realization",100,8.065139494,8.065139494,8.065139494
"Realization",101,8.065170924,8.065170924,8.065170924
"Realization",102,8.064290504,8.064290504,8.064290504
"Realization",103,8.073215919,8.073215919,8.073215919
"Realization",104,8.071312256,8.071312256,8.071312256
"Realization",105,8.081289494,8.081289494,8.081289494
"Realization",106,8.057377489,8.057377489,8.057377489
"Realization",107,8.058042456,8.058042456,8.058042456
"Realization",108,8.070656058,8.070656058,8.070656058
"Realization",109,8.089819841,8.089819841,8.089819841
"Realization",110,8.086471812,8.086471812,8.086471812
"Realization",111,8.090892523,8.090892523,8.090892523
"Realization",112,8.076919224,8.076919224,8.076919224
"Realization",113,8.061613042,8.061613042,8.061613042
"Realization",114,8.064605029,8.064605029,8.064605029
"Realization",115,8.056585284,8.056585284,8.056585284
"Realization",116,8.058105763,8.058105763,8.058105763
"Realization",117,8.066709797,8.066709797,8.066709797
"Realization",118,8.088960866,8.088960866,8.088960866
"Realization",119,8.103615263,8.103615263,8.103615263
"Realization",120,8.121212959,8.121212959,8.121212959
"Realization",121,8.146622142,8.146622142,8.146622142
"Realization",122,8.159946656,8.159946656,8.159946656
"Realization",123,8.166386709,8.166386709,8.166386709
"Realization",124,8.170525154,8.170525154,8.170525154
"Realization",125,8.182419511,8.182419511,8.182419511
"Realization",126,8.188466878,8.188466878,8.188466878
"Realization",127,8.198584448,8.198584448,8.198584448
"Realization",128,8.205873949,8.205873949,8.205873949
"Realization",129,8.221290758,8.221290758,8.221290758
"Realization",130,8.219218329,8.219218329,8.219218329
"Realization",131,8.221828349,8.221828349,8.221828349
"Realization",132,8.225422773,8.225422773,8.225422773
"Realization",133,8.236605891,8.236605891,8.236605891
"Realization",134,8.248790734,8.248790734,8.248790734
"Realization",135,8.259794578,8.259794578,8.259794578
"Realization",136,8.274611946,8.274611946,8.274611946
